"date","(중국 AND  대만 AND  양안)"
"20120908","1"
"20120915","6"
"20120922","7"
"20120929","0"
"20121006","0"
"20121013","3"
"20121020","2"
"20121027","3"
"20121103","3"
"20121110","3"
"20121117","5"
"20121124","0"
"20121201","0"
"20121208","1"
"20121215","5"
"20121222","3"
"20121229","1"
"20130105","0"
"20130112","0"
"20130119","7"
"20130126","3"
"20130202","3"
"20130209","0"
"20130216","5"
"20130223","9"
"20130302","7"
"20130309","4"
"20130316","4"
"20130323","2"
"20130330","0"
"20130406","8"
"20130413","0"
"20130420","6"
"20130427","2"
"20130504","3"
"20130511","5"
"20130518","1"
"20130525","0"
"20130601","3"
"20130608","12"
"20130615","11"
"20130622","1"
"20130629","5"
"20130706","1"
"20130713","0"
"20130720","2"
"20130727","2"
"20130803","5"
"20130810","5"
"20130817","0"
"20130824","0"
"20130831","3"
"20130907","0"
"20130914","1"
"20130921","0"
"20130928","2"
"20131005","9"
"20131012","1"
"20131019","1"
"20131026","4"
"20131102","1"
"20131109","0"
"20131116","3"
"20131123","4"
"20131130","1"
"20131207","2"
"20131214","1"
"20131221","3"
"20131228","0"
"20140104","2"
"20140111","5"
"20140118","3"
"20140125","10"
"20140201","3"
"20140208","47"
"20140215","32"
"20140222","13"
"20140301","5"
"20140308","4"
"20140315","5"
"20140322","13"
"20140329","7"
"20140405","8"
"20140412","1"
"20140419","4"
"20140426","1"
"20140503","0"
"20140510","2"
"20140517","0"
"20140524","2"
"20140531","0"
"20140607","1"
"20140614","1"
"20140621","10"
"20140628","3"
"20140705","1"
"20140712","1"
"20140719","4"
"20140726","2"
"20140802","1"
"20140809","1"
"20140816","2"
"20140823","1"
"20140830","9"
"20140906","5"
"20140913","1"
"20140920","1"
"20140927","8"
"20141004","3"
"20141011","10"
"20141018","2"
"20141025","6"
"20141101","6"
"20141108","3"
"20141115","1"
"20141122","2"
"20141129","41"
"20141206","2"
"20141213","5"
"20141220","4"
"20141227","2"
"20150103","1"
"20150110","2"
"20150117","4"
"20150124","3"
"20150131","2"
"20150207","6"
"20150214","0"
"20150221","2"
"20150228","7"
"20150307","4"
"20150314","5"
"20150321","6"
"20150328","3"
"20150404","2"
"20150411","5"
"20150418","8"
"20150425","1"
"20150502","43"
"20150509","2"
"20150516","1"
"20150523","6"
"20150530","2"
"20150606","0"
"20150613","14"
"20150620","8"
"20150627","1"
"20150704","3"
"20150711","6"
"20150718","6"
"20150725","5"
"20150801","4"
"20150808","0"
"20150815","3"
"20150822","6"
"20150829","15"
"20150905","2"
"20150912","3"
"20150919","0"
"20150926","1"
"20151003","1"
"20151010","2"
"20151017","6"
"20151024","3"
"20151031","52"
"20151107","121"
"20151114","12"
"20151121","5"
"20151128","3"
"20151205","3"
"20151212","6"
"20151219","6"
"20151226","13"
"20160102","2"
"20160109","34"
"20160116","304"
"20160123","30"
"20160130","4"
"20160206","28"
"20160213","4"
"20160220","0"
"20160227","4"
"20160305","13"
"20160312","1"
"20160319","1"
"20160326","6"
"20160402","2"
"20160409","5"
"20160416","3"
"20160423","3"
"20160430","2"
"20160507","4"
"20160514","50"
"20160521","35"
"20160528","7"
"20160604","9"
"20160611","4"
"20160618","2"
"20160625","7"
"20160702","6"
"20160709","7"
"20160716","5"
"20160723","0"
"20160730","1"
"20160806","5"
"20160813","4"
"20160820","1"
"20160827","4"
"20160903","5"
"20160910","0"
"20160917","3"
"20160924","2"
"20161001","12"
"20161008","8"
"20161015","1"
"20161022","6"
"20161029","11"
"20161105","1"
"20161112","3"
"20161119","2"
"20161126","6"
"20161203","29"
"20161210","23"
"20161217","11"
"20161224","9"
"20161231","15"
"20170107","11"
"20170114","10"
"20170121","1"
"20170128","2"
"20170204","4"
"20170211","3"
"20170218","6"
"20170225","3"
"20170304","10"
"20170311","6"
"20170318","4"
"20170325","6"
"20170401","2"
"20170408","6"
"20170415","4"
"20170422","4"
"20170429","2"
"20170506","6"
"20170513","0"
"20170520","2"
"20170527","3"
"20170603","3"
"20170610","6"
"20170617","3"
"20170624","4"
"20170701","2"
"20170708","3"
"20170715","1"
"20170722","1"
"20170729","6"
"20170805","0"
"20170812","1"
"20170819","0"
"20170826","1"
"20170902","0"
"20170909","0"
"20170916","1"
"20170923","2"
"20170930","1"
"20171007","3"
"20171014","5"
"20171021","1"
"20171028","0"
"20171104","2"
"20171111","1"
"20171118","2"
"20171125","2"
"20171202","1"
"20171209","3"
"20171216","5"
"20171223","4"
"20171230","3"
"20180106","3"
"20180113","7"
"20180120","4"
"20180127","7"
"20180203","13"
"20180210","5"
"20180217","1"
"20180224","3"
"20180303","4"
"20180310","2"
"20180317","22"
"20180324","3"
"20180331","0"
"20180407","3"
"20180414","3"
"20180421","11"
"20180428","19"
"20180505","30"
"20180512","19"
"20180519","3"
"20180526","20"
"20180602","50"
"20180609","21"
"20180616","2"
